sector_class,N,n_train,n_test,t_train,t_test,diff_train,diff_test,mean_basket_test,g1,g2,g3,g4,g6
ZYKLISCH,4,540,547,2.0027587923656442,1.7255547666291497,0.0005896854337280192,0.0006575269988551782,26.83363802559415,True,False,True,True,False
ZYKLISCH,5,230,270,1.3020074169838345,-0.16983503489259444,0.0007405652008891435,-9.091640168804942e-05,21.0,True,False,True,True,False
ZYKLISCH,6,73,113,2.388393287986026,0.36225519999256167,0.0018055762659639227,0.00029687253460681384,16.672566371681416,True,False,True,True,False
ZYKLISCH,7,19,39,1.2716713345800381,0.8521920659231437,0.002209355543067265,0.0013282887944834718,13.461538461538462,True,False,True,True,False
DEFENSIV,4,387,456,1.3013814233456094,-0.4439817481767772,0.0004576079489815046,-0.00018235432410677998,18.56140350877193,True,False,True,True,False
DEFENSIV,5,126,211,0.3759721938720011,-0.9301660197464415,0.0002719925745116704,-0.0006113109945463899,14.957345971563981,True,False,True,True,False
DEFENSIV,6,34,75,-0.45898884718773614,-0.2621821901360824,-0.0005571122710027237,-0.0003402544839298934,12.56,False,False,True,True,False
DEFENSIV,7,12,26,-0.3099634651171259,-0.25519216629870073,-0.0006984715135802269,-0.0005489628676616736,10.961538461538462,False,False,False,True,False
TECH,4,172,252,1.2330769796751062,1.0095303779333025,0.000637304051713464,0.0006804461685243603,17.543650793650794,True,False,True,True,False
TECH,5,57,92,0.8109967718118681,1.3663624671408254,0.0008661423797493711,0.0018641814160908982,15.032608695652174,True,False,True,True,False
TECH,6,16,21,1.1961545822111785,1.9195554742903211,0.002546153306907443,0.0030218317657541823,14.0,True,False,False,True,False
TECH,7,4,4,0.41870984647549725,1.274717543408204,0.0011615715866608379,0.007212373208189273,14.5,True,False,False,True,False
