cutoff,fwd,asset,n_train_sig,n_test_sig,t_train,diff_train,t_test,diff_test,g1,g2,g3,g6_naive
-1.0,1,SPY,647,228,1.7057705330189814,0.000883779053689626,0.77183020517586,0.0006367437917391141,False,False,True,False
-1.0,1,QQQ,647,228,0.744345846959857,0.0005720344549344506,1.2032200823398578,0.0012654078673926877,False,False,True,False
-1.0,1,IWM,640,228,1.4226095195774433,0.0009401205148563266,0.8365929935573319,0.0008796161466134835,False,False,True,False
-1.0,1,HYG,392,228,0.20569363680169261,9.71475156209561e-05,0.9059940840095483,0.00032044585690677415,False,False,True,False
-1.0,2,SPY,647,228,2.1121368492840595,0.001576162176938995,0.2672423756941441,0.0003086727333695377,False,False,True,False
-1.0,2,QQQ,647,228,1.5524048473788812,0.001717899102384176,0.6175268976950449,0.0009041784894332577,False,False,True,False
-1.0,2,IWM,640,228,1.8733808712869449,0.0016532569366899097,-0.06036831594785977,-9.241666246436581e-05,False,False,True,False
-1.0,2,HYG,392,228,0.5346645859243804,0.00035042294619123504,0.22027640459328438,0.00011082887029503395,False,False,True,False
-1.0,5,SPY,647,228,3.1622176635443666,0.003235556773995305,0.7048747000812082,0.001190818042006523,False,False,True,False
-1.0,5,QQQ,647,228,1.943799672146396,0.002946014474905564,0.7500027825852289,0.001717068219775345,False,False,True,False
-1.0,5,IWM,640,228,2.47257086409676,0.003317349347072624,0.13339942001246993,0.0002860701062447407,False,False,True,False
-1.0,5,HYG,392,228,1.28209088878515,0.0011178069717170287,0.10077791569306178,6.759772162300763e-05,False,False,True,False
-1.0,10,SPY,647,228,2.1754511240088474,0.0030181725491979145,1.8378215576162413,0.0038755071043765866,False,False,True,False
-1.0,10,QQQ,647,228,1.2326362447307513,0.0026134275859608785,1.1577979970710761,0.003387432076846872,False,False,True,False
-1.0,10,IWM,640,228,1.7804862636146455,0.003112976557406797,0.5277019038022108,0.0014943759329366741,False,False,True,False
-1.0,10,HYG,392,228,1.8575026211326038,0.0021660941395841874,1.120189016520863,0.001010187098196029,False,False,True,False
-1.5,1,SPY,304,109,0.7876698854034911,0.0005862907617364699,-0.29486284074758684,-0.0003701482091102949,False,False,True,False
-1.5,1,QQQ,304,109,0.3701702728829909,0.0003761949661198402,0.28060638536195986,0.0004274528000192974,False,False,True,False
-1.5,1,IWM,302,109,1.0986083719063373,0.0010274943567918395,-0.5697846863660694,-0.0008749545924615904,False,False,True,False
-1.5,1,HYG,184,109,-0.23793745158170293,-0.00017882591932967738,-0.0024210851814875202,-1.1774649464575747e-06,True,False,True,False
-1.5,2,SPY,304,109,0.9976802070574866,0.001103933637502795,-0.8660190112985183,-0.0014229679334842996,False,False,True,False
-1.5,2,QQQ,304,109,0.561377222506942,0.0008188302637469135,-0.48969593072781603,-0.0009371801687266185,False,False,True,False
-1.5,2,IWM,302,109,0.8491613124127403,0.0010756109347583678,-0.8789190700563829,-0.0019873423994997983,False,False,True,False
-1.5,2,HYG,184,109,0.3342968528453848,0.0003566783577207996,-0.538476322170069,-0.0003712724073767034,False,False,True,False
-1.5,5,SPY,304,109,1.3657198484535804,0.0020995887163119194,-0.5126094828862021,-0.0011366317796440554,False,False,True,False
-1.5,5,QQQ,304,109,0.5731552508373218,0.001180983739727587,-0.673565275848757,-0.0020976148270627107,False,False,True,False
-1.5,5,IWM,302,109,1.5602347823514542,0.0031867826687391517,-0.8264118091059738,-0.0022748378791611836,False,False,True,False
-1.5,5,HYG,184,109,0.7451967149841475,0.0009875865737038535,-0.3046797693345163,-0.00026987930212442855,False,False,True,False
-1.5,10,SPY,304,109,0.8523712878699474,0.001715622024847166,1.8343013550648337,0.005035493840100451,False,False,True,False
-1.5,10,QQQ,304,109,0.50078069369338,0.0014175611960429747,0.6418622291733047,0.002544099375159545,False,False,True,False
-1.5,10,IWM,302,109,1.5140144992539828,0.003772311358044967,1.4164601490375401,0.005503285026418243,False,False,True,False
-1.5,10,HYG,184,109,1.5153645213222482,0.0027919069510549755,2.1675007210150996,0.0024638258225749706,False,False,True,False
-2.0,1,SPY,126,56,1.1043473867435407,0.0013612442884653392,-0.7547881114983647,-0.00155710417442304,False,False,True,False
-2.0,1,QQQ,126,56,0.253359422610788,0.0004118794769094144,-0.764630694145477,-0.0018301059539415016,False,False,True,False
-2.0,1,IWM,125,56,1.2038581871378238,0.0018987833986262115,-0.48456622444975783,-0.00115717600963669,False,False,True,False
-2.0,1,HYG,79,56,0.3791749997858667,0.0005130475774863562,0.005436482316061777,4.4179995988177225e-06,False,False,True,False
-2.0,2,SPY,126,56,1.1967329316518627,0.002368687468616626,-0.4301691924724626,-0.0010455825753800736,False,False,True,False
-2.0,2,QQQ,126,56,0.833019069638673,0.002010749355027553,-0.44769219550027806,-0.001326823690705501,False,False,True,False
-2.0,2,IWM,125,56,1.2983834850526856,0.0028597941669039916,-0.022756107669329666,-7.521093327541011e-05,False,False,True,False
-2.0,2,HYG,79,56,0.826065739967678,0.0017391253472431136,0.9518202080089773,0.0009633366615374986,False,False,True,False
-2.0,5,SPY,126,56,2.0323212515569566,0.004781000355123535,-0.8701584933039277,-0.002581338503958255,False,False,True,False
-2.0,5,QQQ,126,56,1.4512312911500407,0.004799224427394928,-1.143001565843786,-0.004915328813992931,False,False,True,False
-2.0,5,IWM,125,56,2.1432160784182988,0.00651782647688002,-0.7665003722715491,-0.00309575896235186,False,False,True,False
-2.0,5,HYG,79,56,2.288291837703892,0.0039839389273228715,0.04779029271270349,6.182473933378303e-05,False,False,True,False
-2.0,10,SPY,126,56,0.8608817521425987,0.0027416093491138124,1.0435328444678347,0.004121603580602456,False,False,True,False
-2.0,10,QQQ,126,56,0.8639314025929844,0.004079122776050929,0.03809921369685628,0.00022370227032721124,False,False,True,False
-2.0,10,IWM,125,56,1.3136958810973798,0.004966702631839763,1.297255906104101,0.007343233463836769,False,False,True,False
-2.0,10,HYG,79,56,1.3541571495590352,0.004464793031236584,1.8803489300120144,0.0030432541241760245,False,False,True,False
